Country,League,Matchday,Hometeam,Awayteam,Score
Greece,Super League,12,Panathinaikos,AEK,2-3
Greece,Super League,12,Levadeiakos,PAOK,2-3
Greece,Super League,12,Atromitos,Asteras Tripolis,0-1
Greece,Super League,12,Panetolikos,Olympiakos,0-1
Greece,Super League,12,Aris,Larisa,2-1
Greece,Super League,12,Kifisia,Panserraikos,3-0
Greece,Super League,12,OFI Crete,Volos NFC,0-1
Greece,Super League,11,Larisa,OFI Crete,1-2
Greece,Super League,11,Volos NFC,Levadeiakos,1-2
Greece,Super League,11,AEK,Aris,1-0
Greece,Super League,11,PAOK,Kifisia,3-0
Greece,Super League,11,Panserraikos,Panathinaikos,0-3
Greece,Super League,11,Olympiakos,Atromitos,3-0
Greece,Super League,11,Asteras Tripolis,Panetolikos,1-1
Greece,Super League,10,Panathinaikos,PAOK,2-1
Greece,Super League,10,Atromitos,Volos NFC,0-1
Greece,Super League,10,OFI Crete,AEK,0-1
Greece,Super League,10,Levadeiakos,Panserraikos,5-2
Greece,Super League,10,Aris,Asteras Tripolis,0-0
Greece,Super League,10,Kifisia,Olympiakos,1-3
Greece,Super League,10,Panetolikos,Larisa,3-0
Greece,Super League,9,Asteras Tripolis,OFI Crete,3-0
Greece,Super League,9,AEK,Panetolikos,1-0
Greece,Super League,9,Panserraikos,PAOK,0-5
Greece,Super League,9,Larisa,Levadeiakos,0-2
Greece,Super League,9,Olympiakos,Aris,2-1
Greece,Super League,9,Atromitos,Kifisia,1-2
Greece,Super League,9,Volos NFC,Panathinaikos,1-0
Greece,Super League,8,Olympiakos,AEK,2-0
Greece,Super League,8,PAOK,Volos NFC,3-0
Greece,Super League,8,Panathinaikos,Asteras Tripolis,2-0
Greece,Super League,8,Levadeiakos,Aris,1-1
Greece,Super League,8,OFI Crete,Atromitos,1-3
Greece,Super League,8,Panserraikos,Larisa,0-2
Greece,Super League,8,Kifisia,Panetolikos,1-1
Greece,Super League,7,AEK,PAOK,0-2
Greece,Super League,7,Aris,Panathinaikos,1-1
Greece,Super League,7,Volos NFC,Panserraikos,2-1
Greece,Super League,7,Asteras Tripolis,Kifisia,2-2
Greece,Super League,7,Panetolikos,OFI Crete,4-2
Greece,Super League,7,Atromitos,Levadeiakos,2-2
Greece,Super League,7,Larisa,Olympiakos,0-2
Greece,Super League,6,Panathinaikos,Atromitos,1-0
Greece,Super League,6,PAOK,Olympiakos,2-1
Greece,Super League,6,Kifisia,AEK,2-3
Greece,Super League,6,Levadeiakos,Panetolikos,6-0
Greece,Super League,6,Larisa,Volos NFC,2-5
Greece,Super League,6,OFI Crete,Aris,3-0
Greece,Super League,6,Panserraikos,Asteras Tripolis,2-1
Greece,Super League,5,Atromitos,Larisa,1-1
Greece,Super League,5,Panetolikos,Panathinaikos,1-2
Greece,Super League,5,Asteras Tripolis,PAOK,3-3
Greece,Super League,5,OFI Crete,Kifisia,1-3
Greece,Super League,5,AEK,Volos NFC,1-0
Greece,Super League,5,Aris,Panserraikos,1-1
Greece,Super League,5,Olympiakos,Levadeiakos,3-2
Greece,Super League,4,Panathinaikos,Olympiakos,1-1
Greece,Super League,4,Levadeiakos,OFI Crete,4-0
Greece,Super League,4,Larisa,AEK,1-1
Greece,Super League,4,PAOK,Panetolikos,0-0
Greece,Super League,4,Volos NFC,Asteras Tripolis,2-1
Greece,Super League,4,Kifisia,Aris,0-1
Greece,Super League,4,Panserraikos,Atromitos,1-1
Greece,Super League,3,OFI Crete,PAOK,1-2
Greece,Super League,3,Levadeiakos,AEK,0-1
Greece,Super League,3,Asteras Tripolis,Larisa,2-2
Greece,Super League,3,Kifisia,Panathinaikos,3-2
Greece,Super League,3,Atromitos,Aris,1-2
Greece,Super League,3,Panetolikos,Volos NFC,1-2
Greece,Super League,3,Olympiakos,Panserraikos,5-0
Greece,Super League,2,Panathinaikos,Levadeiakos,1-1
Greece,Super League,2,PAOK,Atromitos,1-0
Greece,Super League,2,AEK,Asteras Tripolis,1-0
Greece,Super League,2,Larisa,Kifisia,1-1
Greece,Super League,2,Aris,Panetolikos,0-2
Greece,Super League,2,Panserraikos,OFI Crete,0-1
Greece,Super League,2,Volos NFC,Olympiakos,0-2
Greece,Super League,1,Levadeiakos,Kifisia,3-2
Greece,Super League,1,PAOK,Larisa,1-0
Greece,Super League,1,AEK,Panserraikos,2-0
Greece,Super League,1,Panetolikos,Atromitos,0-2
Greece,Super League,1,Aris,Volos NFC,2-0
Greece,Super League,1,Olympiakos,Asteras Tripolis,2-0
Greece,Super League,13,Olympiakos,OFI Crete,
Greece,Super League,13,Volos NFC,Kifisia,
Greece,Super League,13,Asteras Tripolis,Levadeiakos,
Greece,Super League,13,Larisa,Panathinaikos,
Greece,Super League,13,PAOK,Aris,
Greece,Super League,13,AEK,Atromitos,
Greece,Super League,13,Panserraikos,Panetolikos,
Greece,Super League,14,Levadeiakos,Larisa,
Greece,Super League,14,OFI Crete,Panserraikos,
Greece,Super League,14,Kifisia,Asteras Tripolis,
Greece,Super League,14,Panetolikos,AEK,
Greece,Super League,14,Atromitos,PAOK,
Greece,Super League,14,Aris,Olympiakos,
Greece,Super League,14,Panathinaikos,Volos NFC,
Greece,Super League,15,Asteras Tripolis,Aris,
Greece,Super League,15,Volos NFC,Panetolikos,
Greece,Super League,15,Olympiakos,Kifisia,
Greece,Super League,15,Larisa,Atromitos,
Greece,Super League,15,PAOK,Panathinaikos,
Greece,Super League,15,AEK,OFI Crete,
Greece,Super League,15,Panserraikos,Levadeiakos,
Greece,Super League,16,Aris,AEK,
Greece,Super League,16,Atromitos,Olympiakos,
Greece,Super League,16,Kifisia,Larisa,
Greece,Super League,16,Levadeiakos,Volos NFC,
Greece,Super League,16,OFI Crete,Asteras Tripolis,
Greece,Super League,16,Panathinaikos,Panserraikos,
Greece,Super League,16,Panetolikos,PAOK,
Greece,Super League,17,AEK,Panathinaikos,
Greece,Super League,17,Larisa,Aris,
Greece,Super League,17,Asteras Tripolis,Olympiakos,
Greece,Super League,17,Panetolikos,Levadeiakos,
Greece,Super League,17,Panserraikos,Kifisia,
Greece,Super League,17,PAOK,OFI Crete,
Greece,Super League,17,Volos NFC,Atromitos,
Greece,Super League,18,Larisa,Panserraikos,
Greece,Super League,18,Aris,Levadeiakos,
Greece,Super League,18,Asteras Tripolis,AEK,
Greece,Super League,18,Atromitos,Panathinaikos,
Greece,Super League,18,Kifisia,PAOK,
Greece,Super League,18,OFI Crete,Panetolikos,
Greece,Super League,18,Olympiakos,Volos NFC,
Greece,Super League,19,AEK,Olympiakos,
Greece,Super League,19,Atromitos,OFI Crete,
Greece,Super League,19,Levadeiakos,Asteras Tripolis,
Greece,Super League,19,Panathinaikos,Kifisia,
Greece,Super League,19,Panetolikos,Aris,
Greece,Super League,19,PAOK,Panserraikos,
Greece,Super League,19,Volos NFC,Larisa,
Greece,Super League,20,Larisa,Panetolikos,
Greece,Super League,20,Aris,PAOK,
Greece,Super League,20,Asteras Tripolis,Volos NFC,
Greece,Super League,20,Kifisia,Atromitos,
Greece,Super League,20,OFI Crete,Levadeiakos,
Greece,Super League,20,Olympiakos,Panathinaikos,
Greece,Super League,20,Panserraikos,AEK,
Greece,Super League,21,Atromitos,Panserraikos,
Greece,Super League,21,Kifisia,OFI Crete,
Greece,Super League,21,Levadeiakos,Olympiakos,
Greece,Super League,21,Panathinaikos,Larisa,
Greece,Super League,21,Panetolikos,Asteras Tripolis,
Greece,Super League,21,PAOK,AEK,
Greece,Super League,21,Volos NFC,Aris,
Greece,Super League,22,AEK,Levadeiakos,
Greece,Super League,22,Larisa,PAOK,
Greece,Super League,22,Aris,Kifisia,
Greece,Super League,22,Asteras Tripolis,Atromitos,
Greece,Super League,22,OFI Crete,Panathinaikos,
Greece,Super League,22,Olympiakos,Panetolikos,
Greece,Super League,22,Panserraikos,Volos NFC,
Greece,Super League,23,Atromitos,Panetolikos,
Greece,Super League,23,Kifisia,Levadeiakos,
Greece,Super League,23,OFI Crete,Larisa,
Greece,Super League,23,Panathinaikos,Aris,
Greece,Super League,23,Panserraikos,Olympiakos,
Greece,Super League,23,PAOK,Asteras Tripolis,
Greece,Super League,23,Volos NFC,AEK,
Greece,Super League,24,AEK,Larisa,
Greece,Super League,24,Aris,Atromitos,
Greece,Super League,24,Asteras Tripolis,Panserraikos,
Greece,Super League,24,Levadeiakos,Panathinaikos,
Greece,Super League,24,Olympiakos,PAOK,
Greece,Super League,24,Panetolikos,Kifisia,
Greece,Super League,24,Volos NFC,OFI Crete,
Greece,Super League,25,Larisa,Asteras Tripolis,
Greece,Super League,25,Atromitos,AEK,
Greece,Super League,25,Kifisia,Volos NFC,
Greece,Super League,25,OFI Crete,Olympiakos,
Greece,Super League,25,Panathinaikos,Panetolikos,
Greece,Super League,25,Panserraikos,Aris,
Greece,Super League,25,PAOK,Levadeiakos,
Greece,Super League,26,AEK,Kifisia,
Greece,Super League,26,Aris,OFI Crete,
Greece,Super League,26,Asteras Tripolis,Panathinaikos,
Greece,Super League,26,Levadeiakos,Atromitos,
Greece,Super League,26,Olympiakos,Larisa,
Greece,Super League,26,Panetolikos,Panserraikos,
Greece,Super League,26,Volos NFC,PAOK,
